,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,34,,32,31,30,,28,27,26,25,24,,34,33,32,31,,,28,,30,,,33,
,35,34,33,32,31,30,29,,27,26,25,24,23,,33,32,31,30,,,27,,29,,,32,
,34,33,32,31,30,29,28,,26,25,24,23,22,,32,31,30,29,28,27,26,,28,29,30,31,
,33,32,31,30,29,28,27,,25,24,23,22,21,,31,30,29,28,27,26,25,,27,28,29,30,
,32,31,30,29,28,27,26,,,,,,20,,,,,,,,24,,26,,,,
,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,18,19,20,21,22,23,24,25,26,27,28,
,32,,,,,,,,24,,,,,,16,,,,,,,,,,,,
,33,34,35,36,,28,27,26,25,,35,36,37,,15,14,13,12,11,10,9,8,7,6,5,4,
,34,35,36,37,,29,28,27,26,,34,35,36,,16,15,14,,,11,10,9,,5,4,3,
,35,36,37,38,,,,28,27,,33,34,35,,17,16,,,,,11,10,,4,3,2,
,36,37,38,39,,,,29,28,,32,33,34,,18,17,16,,,13,12,11,,3,2,1,
,37,38,39,40,,32,31,30,29,30,31,32,33,,19,18,17,16,15,14,13,12,,2,1,0,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
